CNJ,CNJYear,NATURE,SUBJECT,IsCriminal,JusticeSegmentVerifier,NatureVerifier,NatureVerifier2,SubjectVerifier,IsCriminalVerifier
0001685-65.2020.4.03.6323,2020,1 (CNJ 436) - PROCEDIMENTO DO JUIZADO ESPECIAL CÍVEL,"010408 - SERVIÇOS DELEGADOS A TERCEIROS: CONCESSÃO/PERMISSÃO/AUTORIZAÇÃO - SERVIÇOS, 10076 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO - SERVIÇOS - CONCESSÃO / PERMISSÃO / AUTORIZAÇÃO - TRANSPORTE TERRESTRE, 195 - TRANSPORTE TERRESTRE",FALSE,ok,no,no,no,false
0004366-15.2009.4.01.3812,2009,1116 - Execução Fiscal,6046 - Conselhos Regionais e Afins Anuidade,FALSE,ok,ok,no,no,false
0000297-94.2015.4.01.3822,2015,- Recurso Inominado Cível,6104 - Pensão por Morte Art 749,FALSE,ok,no,no,no,false
0002400-93.2001.5.02.0317,2001,RTOrd,,FALSE,no,ok,no,vazio,false
0003544-72.2017.8.16.0165,2017,- Carta Precatória Cível,,FALSE,ok,no,no,vazio,false
0001275-80.2020.8.11.0040,2020,Carta Precatória,"INTIMAR OS REUS - MD. RAST. 81120204956437.  AUTOS N.  3774-17.2009.811.0042. CODIGO 136535. AUDIENCIA DESIGNADA PARA O DIA 24/03/2020, AS 14 HORAS.",TRUE,ok,ok,no,no,false
5010046-25.2021.8.24.0020,2021,Guarda de Família -  Família - Geral,,FALSE,ok,ok,no,vazio,false
1016352-06.2016.8.26.0309,2016,Reintegração / Manutenção de Posse,"Esbulho / Turbação / Ameaça, Posse",FALSE,ok,ok,no,no,false
0012322-12.2015.8.16.0194,2015,- Busca e Apreensão,7717 - Espécies de Títulos de Crédito,FALSE,ok,ok,no,no,false
0004098-27.2010.8.26.0083,2010,Consignação em Pagamento,Pagamento em Consignação,FALSE,ok,ok,no,no,false
0000818-45.2010.8.26.0666,2010,Reintegração / Manutenção de Posse,Posse,FALSE,ok,ok,no,no,false
1000427-35.2017.8.26.0082,2017,Mandado de Segurança Cível,Garantias Constitucionais,FALSE,ok,no,no,no,false
0049070-59.2012.8.21.7000,2012,apelacao,alienacao fiduciaria,FALSE,ok,ok,no,no,false
0000405-53.2021.5.06.0181,2021,Homologação da Transação Extrajudicial,,FALSE,no,ok,no,vazio,false
0000329-93.2017.8.16.0131,2017,- Execução Fiscal,6017 - Dívida Ativa,FALSE,ok,ok,no,no,false
0000329-93.2017.8.16.0131,2017,- Execução Fiscal,6017 - Dívida Ativa,FALSE,ok,ok,no,no,false
1029088-88.2014.8.26.0224,2014,Despejo por Falta de Pagamento,Obrigações,FALSE,ok,ok,no,no,false
0220772-02.2019.8.13.0000,2019,Agravo de Instrumento-Cv,Violação dos Princípios Administrativos < Improbidade Administrativa < Atos Administrativos < DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,FALSE,ok,ok,no,no,false
0000746-68.2018.8.16.0080,2018,- Procedimento Comum,9580 - Espécies de Contratos,FALSE,ok,ok,no,no,false
0002069-41.2021.8.08.0011,2021,Cível,Procedimento Comum Cível,FALSE,ok,no,no,no,false
0004117-28.2012.8.05.0154,2012,Execução de Alimentos,Alimentos(PRINCIPAL),FALSE,ok,ok,no,no,false
5004613-24.2021.8.13.0480,2021,[CÍVEL] CUMPRIMENTO DE SENTENÇA,DIREITO PROCESSUAL CIVIL E DO TRABALHO / Liquidação / Cumprimento / Execução / Causas Supervenientes à Sentenç,FALSE,ok,no,no,no,false
0001078-93.2016.5.05.0037,2016,AÇÃO TRABALHISTA - RITO ORDINÁRIO,,FALSE,no,ok,no,vazio,false
5000408-73.2021.8.08.0032,2021,TUTELA CAUTELAR ANTECEDENTE,DIREITO CIVIL (899) - Obrigaões (7681) - Espécies de Contratos (9580) - Contratos Bancários (9607,FALSE,ok,ok,no,no,false
5272958-98.2020.8.09.0029,2020,PROCESSO CÍVEL E DO TRABALHO -> Processo de Conhecimento -> Procedimento de Conhecimento -> Procedimento do Juizado Especial Cível,DIREITO DO CONSUMIDOR -> Responsabilidade do Fornecedor -> Indenização por Dano Material - Lei n. 8.078/90 (C.D.C.) - DIREITO DO CONSUMIDOR -> Responsabilidade do Fornecedor -> Indenização por Dano Moral -,FALSE,ok,no,no,no,false
0026412-19.2012.8.19.0203,2012,Monitória,"Contratos Bancários, Direito Civil",FALSE,ok,ok,no,no,false
5003595-69.2021.8.13.0317,2021,[CÍVEL] PROCEDIMENTO COMUM CÍVEL,DIREITO CIVIL / Responsabilidade Civil / Indenização por Dano Mora DIREITO CIVIL / Responsabilidade Civil / Indenização por Dano Materia,FALSE,ok,no,no,no,false
0011026-45.2022.5.18.0083,2022,ConPag,Pedido de Demissão - Justa Causa / Falta Grave,FALSE,no,ok,no,no,false
5001644-94.2013.4.04.7110,2013,RECURSO ESPECIAL,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO, Atos Administrativos, Infração Administrativa, Multas e demais Sanções, Crédito Tributário, Suspensão da Exigibilidade",FALSE,ok,ok,no,no,false
0021371-75.2021.4.03.6301,2021,1 (CNJ 436) - PROCEDIMENTO DO JUIZADO ESPECIAL CÍVEL,010801 - FGTS/FUNDO DE GARANTIA POR TEMPO DE SERVIÇO - ENTIDADES ADMINISTRATIVAS/ADMINISTRAÇÃO PÚBLICA - 10159 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO - ORGANIZAÇÃO POLÍTICO-ADMINISTRATIVA / ADMINISTRAÇÃO PÚBLICA - FGTS/FUNDO DE GARANTIA POR TEMPO DE SERVIÇO - ATUALIZAÇÃO DE CONTA - 312 - CORREÇÃO/ATUALIZAÇÃO INPC/IPCA/OUTRO ÍNDICE,FALSE,ok,no,no,no,false
0003854-85.2021.8.26.0286,2021,Incidente de Desconsideração de Personalidade Jurídica,Cheque,FALSE,ok,ok,no,no,false
5024701-08.2021.8.24.0018,2021,EXECUÇÃO DE TÍTULO EXTRAJUDICIAL -  Civil - Execução Civil,,FALSE,ok,ok,no,vazio,false
9007280-11.2018.8.21.0022,2018,procedimento do juizado especial cível,indenização por dano moral :: competência da juizado especial cível,FALSE,ok,no,no,no,false
8010288-31.2010.8.11.0035,2010,PROCEDIMENTO DO JUIZADO ESPECIAL CÍVEL (436),Perdas e Danos (7698),FALSE,ok,no,no,no,false
0001058-31.2020.5.12.0017,2020,ETCiv,Embargos de Terceiro,FALSE,no,ok,no,no,false
0001058-31.2020.5.12.0017,2020,ETCiv,Embargos de Terceiro,FALSE,no,ok,no,no,false
5053448-29.2016.8.13.0024,2016,[CÍVEL] PROCEDIMENTO COMUM CÍVEL,DIREITO DO CONSUMIDOR (1156) - Contratos de Consumo (7771) - Bancário,FALSE,ok,no,no,no,false
0801555-41.2019.8.14.0049,2019,HOMOLOGAÇÃO DE TRANSAÇÃO EXTRAJUDICIAL,Fixação (6239) Guarda (5802),FALSE,ok,ok,no,no,false
0065452-84.2014.8.13.0112,2014,Usucapião,Usucapião Extraordinária (10458),FALSE,ok,ok,no,no,false
8001265-87.2021.8.05.0182,2021,MONITÓRIA,DIREITO DO CONSUMIDOR (1156) - Contratos de Consumo (7771) - Bancários (7752 DIREITO DO CONSUMIDOR (1156) - Contratos de Consumo (7771) - Bancários (7752) - Empréstimo consignado (11806,FALSE,ok,ok,no,no,false
5492322-40.2019.8.09.0051,2019,PROCESSO CÍVEL E DO TRABALHO -> Outros Procedimentos -> Requerimento de Apreensão de Veículo,DIREITO CIVIL -> Obrigações -> Espécies de Contratos -> Alienação Fiduciária - Decreto-Lei nº 911/69 e Lei Federal nº 9514/97;,FALSE,ok,no,no,no,false
0068421-71.2019.8.21.7000,2019,apelacao,alienacao fiduciaria,FALSE,ok,ok,no,no,false
8000712-40.2019.8.05.0237,2019,GUARDA,,FALSE,ok,ok,no,vazio,false
0600156-19.2020.6.06.0112,2020,REGISTRO DE CANDIDATURA,DIREITO ELEITORAL (11428) - Eleições (11583) - Candidatos (11584) - Registro de Candidatura (11615) - Registro de Candidatura - RRC - Candidato (11618 DIREITO ELEITORAL (11428) - Eleições (11583) - Cargos (11628) - Cargo - Vereador (11638,FALSE,no,ok,no,no,false
0045600-06.2006.5.08.0125,2006,RECLAMAÇÃO  ESCRITA,,FALSE,no,ok,no,vazio,false
5006188-44.2022.8.13.0056,2022,[CÍVEL] PROCEDIMENTO DO JUIZADO ESPECIAL CÍVEL,Inclusão Indevida em Cadastro de Inadimplentes (6226),FALSE,ok,no,no,no,false
5077379-69.2020.8.21.0001,2020,PROCEDIMENTO COMUM CÍVEL -  Cível - Geral (Poa),"Acidente de trânsito, Indenização por dano material, Responsabilidade civil, DIREITO CIVIL",FALSE,ok,no,no,no,false
0012700-64.2010.8.26.0161,2010,Depósito,Depósito,FALSE,ok,ok,no,no,false
0011032-79.2017.5.03.0007,2017,CartPrecCiv,Oitiva,FALSE,no,ok,no,ok,false
0011032-79.2017.5.03.0007,2017,CartPrecCiv,Oitiva,FALSE,no,ok,no,ok,false
1014982-48.2019.8.26.0224,2019,Monitória,Transporte de Coisas,FALSE,ok,ok,no,no,false
0004239-47.1999.4.01.4000,1999,7 - Procedimento Comum Cível,10159 - Atualização de Conta,FALSE,ok,no,no,no,false
0001902-88.2013.8.26.0177,2013,Busca e Apreensão,Liminar,FALSE,ok,ok,no,no,false
0002331-38.2011.4.01.3804,2011,436 - Procedimento do Juizado Especial Cível,6104 - Pensão por Morte Art 749,FALSE,ok,no,no,no,false
5014195-25.2021.8.24.0033,2021,CUMPRIMENTO DE SENTENÇA -  Juizado Especial Cível,,FALSE,ok,no,no,vazio,false
0016688-69.2013.8.16.0031,2013,- Execução de Título Extrajudicial,9607 - Contratos Bancários,FALSE,ok,ok,no,no,false
0001367-88.2017.8.27.2733,2017,Homologação de Transação Extrajudicial,"Cobrança, Inadimplemento, Obrigações, DIREITO CIVIL",FALSE,ok,ok,no,no,false
9001753-07.2016.8.21.0036,2016,procedimento do juizado especial cível,indenização por dano moral :: competência do juizado especial cível,FALSE,ok,no,no,no,false
0009698-83.2022.8.16.0019,2022,- Execução de Título Extrajudicial,Duplicata,FALSE,ok,ok,no,no,false
8000706-27.2019.8.05.0239,2019,REMOÇÃO DE INVENTARIANTE,,FALSE,ok,ok,no,vazio,false
1001698-03.2017.4.01.3900,2017,AÇÃO CIVIL DE IMPROBIDADE ADMINISTRATIVA,DIREITO ADMINISTRATIVO E OUTRAS MATRIAS DE DIREITO PÚBLICO (9985) - Atos Administrativos (9997) - Improbidade Administrativa (10011) - Enriquecimento ilícito (10013,FALSE,ok,ok,no,no,false
0223300-32.2009.5.01.0521,2009,Petição Cível,Acidente de Trabalho,FALSE,no,no,no,no,false
0019085-24.2004.8.26.0004,2004,Reintegração / Manutenção de Posse,Posse,FALSE,ok,ok,no,no,false
5003458-14.2017.4.04.7204,2017,Cumprimento de Sentença contra a Fazenda Pública,"Direito de imagem, Indenização por dano moral, Responsabilidade civil, DIREITO CIVIL",FALSE,ok,ok,no,no,false
0019714-02.2018.8.16.0031,2018,- Pedido de Providências,11847 - Assistência Social,FALSE,ok,ok,no,no,false
0001476-45.2018.4.03.6201,2018,1 (CNJ 436) - PROCEDIMENTO DO JUIZADO ESPECIAL CÍVEL,"040105 - AUXÍLIO-DOENÇA (ART. 59/64) - BENEF. EM ESPÉCIE/CONCESSÃO/CONVERSÃO/RESTABELECIMENTO/COMPLEMENTAÇÃO, 6101 - DIREITO PREVIDENCIÁRIO - BENEFÍCIOS EM ESPÉCIE - AUXÍLIO-DOENÇA PREVIDENCIÁRIO",FALSE,ok,no,no,no,false
4001817-95.2013.8.26.0577,2013,Embargos à Execução,"Valor da Execução / Cálculo / Atualização, Efeito Suspensivo / Impugnação / Embargos à Execução",FALSE,ok,ok,no,no,false
0011065-14.2019.5.15.0024,2019,AIRR,,FALSE,no,ok,no,vazio,false
0122363-38.2013.8.26.0000,2013,Ação Rescisória,DIREITO DO TRABALHO - Responsabilidade Civil do Empregador - Indenização por Dano Material - Acidente de Trabalho,FALSE,ok,ok,no,no,false
0001014-82.2019.8.17.8221,2019,PROCEDIMENTO DO JUIZADO ESPECIAL CÍVEL (436),Prestação de Serviços (9596),FALSE,ok,no,no,no,false
0014060-59.2019.8.16.0173,2019,- Carta Precatória Cível,10938 - Citação,FALSE,ok,no,no,no,false
5017891-45.2020.8.24.0020,2020,Guarda de Família -  Família - Geral,,FALSE,ok,ok,no,vazio,false
0002863-21.2017.8.16.0095,2017,- Cumprimento de sentença,7691 - Inadimplemento,FALSE,ok,ok,no,no,false
1001216-90.2016.5.02.0501,2016,Recurso Ordinário Trabalhista,Acidente de Trabalho,FALSE,no,ok,no,no,false
1001216-90.2016.5.02.0501,2016,Recurso Ordinário Trabalhista,Acidente de Trabalho,FALSE,no,ok,no,no,false
0009010-61.2014.8.26.0266,2014,Carta Precatória Infracional,Citação,TRUE,ok,ok,no,no,false
0092591-97.2014.8.13.0148,2014,Procedimento Ordinário,CIVIL > Obrigações > Inadimplemento > Rescisão / Resolução,FALSE,ok,ok,no,no,false
5116646-57.2022.8.09.0051,2022,PROCESSO CÍVEL E DO TRABALHO -> Processo de Conhecimento -> Procedimento de Conhecimento -> Procedimento Comum Cível,DIREITO CIVIL -> Obrigações -> Espécies de Contratos -> Transporte de Coisas - Lei nº 10.406/02 (Código Civil) -,FALSE,ok,no,no,no,false
0006680-79.2009.8.26.0068,2009,Outros Feitos não Especificados,Contratos Bancários,FALSE,ok,ok,no,no,false
0002411-53.2021.8.25.0084,2021,Habilitação de Crédito,DIREITO PROCESSUAL CIVIL E DO TRABALHO - Partes e Procuradores - Sucumbência - Honorários Advocatícios - DIREITO CIVIL - Obrigações - Inadimplemento - Correção Monetária - DIREITO PROCESSUAL CIVIL E DO TRABALHO - Liquidação / Cumprimento / Execução - Multa de 10% - DIREITO PROCESSUAL CIVIL E DO TRABALHO - Liquidação / Cumprimento / Execução - Valor da Execução / Cálculo / Atualização - Juros -,FALSE,ok,ok,no,no,false
5622818-60.2019.8.09.0051,2019,PROCESSO CÍVEL E DO TRABALHO -> Processo de Conhecimento -> Procedimento de Conhecimento -> Procedimento do Juizado Especial Cível,DIREITO DO CONSUMIDOR -> Responsabilidade do Fornecedor -> Indenização por Dano Moral -> Inclusão Indevida em Cadastro de Inadimplentes - Lei  8.078/1990 (C.D.C.),FALSE,ok,no,no,no,false
0001265-92.2018.8.16.0193,2018,Monitória,Compra e Venda,FALSE,ok,ok,no,no,false
0006186-40.2016.4.01.3904,2016,Ap,3553 - Concussão,FALSE,ok,ok,no,no,false
0006186-40.2016.4.01.3904,2016,Ap,3553 - Concussão,FALSE,ok,ok,no,no,false
1017961-08.2020.4.01.3900,2020,MANDADO DE SEGURANÇA CÍVEL,DIREITO CIVIL (899) - Coisas (10432) - Propriedade (10448) - Aquisião (10455 DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO (9985) - Dívida Ativa não-tributária (10394) - Multas e demais Sanções (10395) - Ambiental (10396,FALSE,ok,no,no,no,false
9000041-92.2017.8.21.0085,2017,procedimento do juizado especial cível,cheque :: competência do juizado especial cível,FALSE,ok,no,no,no,false
5006699-04.2022.8.21.0029,2022,CUMPRIMENTO DE SENTENÇA,"Cheque, Espécies de títulos de crédito, Obrigações, DIREITO CIVIL",FALSE,ok,ok,no,no,false
0000343-07.2009.4.01.3301,2009,1116 - Execução Fiscal,5933 - IRPJImposto de Renda de Pessoa Jurídica,FALSE,ok,ok,no,no,false
0022880-50.2012.8.21.0019,2012,juizado especial cível (jec),reparação de danos,FALSE,ok,no,no,no,false
0000439-02.2022.5.06.0146,2022,HTE,"Abono - DIREITO DO TRABALHO - Remuneração, Verbas Indenizatórias e Benefícios",FALSE,no,ok,no,no,false
5001056-95.2022.8.13.0382,2022,[CÍVEL] CARTA PRECATÓRIA CÍVEL,DIREITO PROCESSUAL CIVIL E DO TRABALHO / Objetos de cartas precatórias/de ordem / Atos executório,FALSE,ok,no,no,no,false
5012020-08.2022.8.13.0105,2022,[CÍVEL] CARTA PRECATÓRIA CÍVEL,DIREITO PROCESSUAL CIVIL E DO TRABALHO / Objetos de cartas precatórias/de ordem / Citaçã,FALSE,ok,no,no,no,false
5000378-74.2020.8.13.0051,2020,[CÍVEL] PROCEDIMENTO DO JUIZADO ESPECIAL CÍVEL,DIREITO CIVIL / Obrigações / Inadimplement,FALSE,ok,no,no,no,false
0214937-50.2017.8.04.0001,2017,Apelação - Isonomia/equivalência Salarial,Isonomia/Equivalência Salarial,FALSE,ok,ok,no,no,false
0034078-25.2018.8.19.0021,2018,Monitória,Enriquecimento sem Causa,FALSE,ok,ok,no,no,false
0142191-33.2010.8.21.0010,2010,processo cautelar,exibição de documentos ou coisas,FALSE,ok,ok,no,no,false
0008559-37.2002.4.05.8200,2002,- FEITOS NAO CONTENCIOSOS,,FALSE,ok,ok,no,vazio,false
0046191.91.2017.8.13.0480,7.8.,Recurso Inominado,"CIVIL, Responsabilidade Civil, Indenização por Dano Moral, Acidente de Trânsito",FALSE,ok,ok,no,no,false
5146352-29.2020.8.13.0024,2020,[CÍVEL] EXECUÇÃO FISCAL,DIREITO TRIBUTÁRIO / Taxas / Estaduai,FALSE,ok,no,no,no,false
0228700-52.2008.5.15.0010,2008,AIRR - Agravo de Instrumento em Recurso de Revista,,FALSE,no,ok,no,vazio,false
0026290-94.2014.8.08.0347,2014,Embargos à Execução Fiscal,"Dívida Ativa, DIREITO TRIBUTÁRIO",FALSE,ok,ok,no,no,false
5002045-25.2021.8.24.0061,2021,Procedimento Comum Cível -  Civil - Responsabilidade Civil,"Dano ambiental, Meio Ambiente",FALSE,ok,no,no,no,false
5001539-58.2021.8.24.0058,2021,Apelação,"Acidente de trânsito, Indenização por dano material, Responsabilidade civil, DIREITO CIVIL - Acidente de trânsito, Indenização por dano moral, Responsabilidade civil, DIREITO CIVIL",FALSE,ok,ok,no,no,false
0010337-94.2014.5.15.0105,2014,Embargos de Terceiro Cível,,FALSE,no,no,no,vazio,false
5404939-96.2018.8.09.0006,2018,- PROCESSO CÍVEL E DO TRABALHO -> Processo de Conhecimento -> Procedimento de Conhecimento -> Procedimento Comum Cível,9996 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO -> Responsabilidade da Administração -> Indenização por Dano Moral -> Acidente de Trânsito - Lei 10406/02 10441 - DIREITO CIVIL -> Responsabilidade Civil -> Indenização por Dano Material -> Acidente de Trânsito - Lei 10406/02,FALSE,ok,no,no,no,false
5404939-96.2018.8.09.0006,2018,- PROCESSO CÍVEL E DO TRABALHO -> Processo de Conhecimento -> Procedimento de Conhecimento -> Procedimento Comum Cível,9996 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO -> Responsabilidade da Administração -> Indenização por Dano Moral -> Acidente de Trânsito - Lei 10406/02 10441 - DIREITO CIVIL -> Responsabilidade Civil -> Indenização por Dano Material -> Acidente de Trânsito - Lei 10406/02,FALSE,ok,no,no,no,false
5009099-82.2019.8.24.0038,2019,RECURSO CÍVEL,"Indenização por Dano Moral, Responsabilidade do Fornecedor, DIREITO DO CONSUMIDOR",FALSE,ok,no,no,no,false
0010253-19.2018.5.15.0052,2018,Execução Provisória em Autos Suplementares,,FALSE,no,ok,no,vazio,false
0043424-58.2012.4.01.9199,2012,AP - Apelação Cível,10395 - Multas e demais Sanções,FALSE,ok,no,no,no,false
0014120-71.2014.8.19.0028,2014,Carta Precatória - CPC,"Intimação, notificação",FALSE,ok,ok,no,no,false
5147013-13.2017.8.09.0157,2017,- PROCESSO CÍVEL E DO TRABALHO -> Processo de Execução -> Execução de Título Extrajudicial -> Execução de Título Extrajudicial,4970 - DIREITO CIVIL -> Obrigações -> Espécies de Títulos de Crédito -> Cheque - Lei Federal nº 7357/85 (Lei do Cheque);,FALSE,ok,no,no,no,false
1000904-23.2019.4.01.3508,2019,RECURSO INOMINADO CÍVEL,DIREITO PREVIDENCIRIO (195) - Benefícios em Espécie (6094) - Auxílio-Doença Previdenciário (6101 DIREITO PREVIDENCIÁRIO (195) - Benefícios em Espécie (6094) - Auxílio-Acidente (Art. 86) (6107) - Incapacidade Laborativa Permanente (6109,FALSE,ok,no,no,no,false
0010961-63.2018.8.05.0063,2018,Procedimento do Juizado Especial Cível « Procedimento de Conhecimento « Processo de Conhecimento « PROCESSO CÍVEL E DO TRABALHO,,FALSE,ok,no,no,vazio,false
5000222-03.2012.8.24.0038,2012,CUMPRIMENTO DE SENTENÇA,"Liquidação / Cumprimento / Execução, DIREITO PROCESSUAL CIVIL E DO TRABALHO",FALSE,ok,ok,no,no,false
0009569-49.2003.8.24.0075,2003,Execução de Sentença - Juizado Especial,,FALSE,ok,ok,no,vazio,false
0005772-52.2005.8.19.0037,2005,Carta Precatória - CPC,Carta Precatória para intimação,FALSE,ok,ok,no,no,false
5002766-49.2022.4.02.5117,2022,PROCEDIMENTO DO JUIZADO ESPECIAL CÍVEL -  JEF Cível,Indenização por Dano Material - DIREITO CIVIL - Responsabilidade Civil - Indenização por Dano Material,FALSE,ok,no,no,no,false
0201590-10.2009.8.26.0100,2009,Cautelar Inominada,,FALSE,ok,ok,no,vazio,false
0005189-84.2012.8.16.0173,2012,- Monitória,9607 - Contratos Bancários,FALSE,ok,ok,no,no,false
0021610-19.2018.8.16.0019,2018,- Cumprimento de sentença,7691 - Inadimplemento,FALSE,ok,ok,no,no,false
5355355-38.2022.8.09.0162,2022,"81 - PROCESSO CÍVEL E DO TRABALHO -> Processo de Conhecimento -> Procedimento de Conhecimento -> Procedimentos Especiais -> Procedimentos Regidos por Outros Códigos, Leis Esparsas e Regimentos -> Busca e Apreensão em Alienação Fiduciária",9582 - DIREITO CIVIL -> Obrigações -> Espécies de Contratos -> Alienação Fiduciária - Decreto-Lei nº 911/69 e Lei Federal nº 9514/97;,FALSE,ok,no,no,no,false
0026137-87.2011.4.03.9999,2011,1652563 RemNecCiv (REOAC) - SP,"Pensão por Morte (Art. 74/9) - Benefícios em Espécie - Direito Previdenciário, Concessão - Pedidos Genéricos relativos aos Benefícios em Espécie - Direito Previdenciário, PROCEDIMENTO COMUM",FALSE,ok,ok,no,no,false
0021079-32.2015.5.04.0403,2015,RTSum,"Adicional de Hora Extra, DIREITO DO TRABALHO, Descontos Salariais - Devolução, Duração do Trabalho, Intervalo Intrajornada, Remuneração, Verbas Indenizatórias e Benefícios, Sobreaviso / Prontidão / Tempo à Disposição",FALSE,no,ok,no,no,false
1017787-26.2017.8.11.0041,2017,BUSCA E APREENSÃO,DIREITO CIVIL / OBRIGAÕES / ESPÉCIES DE CONTRATOS / ALIENAÇÃO FIDUCIÁRI,FALSE,ok,ok,no,no,false
0055819-56.2009.8.26.0405,2009,Despejo por Falta de Pagamento,,FALSE,ok,ok,no,vazio,false
0309873-81.2015.8.24.0033,2015,Recurso Inominado,Perdas e Danos,FALSE,ok,ok,no,no,false
5000649-40.2019.8.13.0303,2019,[CÍVEL] PROCEDIMENTO DO JUIZADO ESPECIAL CÍVEL,DIREITO DO CONSUMIDOR / Responsabilidade do Fornecedor / Indenização por Dano Moral / Inclusão Indevida em Cadastro de Inadimplente,FALSE,ok,no,no,no,false
