cnj_number,doc_id_type,doc_id_number,canonical_name,canonical_type,cover_name,court,forum,court_section,nature,subject,laws_via_cnj_subject,pole,is_criminal,is_carta_precatoria
7002892-79.2016.8.22.0010,CPF,CPF,NOME,NOME,NOME,TJRO,,Rolim,EXECUÇÃO DE TÍTULO EXTRAJUDICIAL,DIREITO PROCESSUAL CIVIL E DO TRABALHO - Liquidação / Cumprimento / Execução - Penhora / Depósito/ Avaliação,"- Artigo 875 da Lei nº 13.105 de 16 de Março de 2015
- Artigo 874 da Lei nº 13.105 de 16 de Março de 2015
- Artigo 873 da Lei nº 13.105 de 16 de Março de 2015
- Artigo 872 da Lei nº 13.105 de 16 de Março de 2015
- Artigo 871 da Lei nº 13.105 de 16 de Março de 2015
- Artigo 870 da Lei nº 13.105 de 16 de Março de 2015
- Artigo 869 da Lei nº 13.105 de 16 de Março de 2015
- Artigo 868 da Lei nº 13.105 de 16 de Março de 2015
- Artigo 867 da Lei nº 13.105 de 16 de Março de 2015
- Artigo 866 da Lei nº 13.105 de 16 de Março de 2015
- Artigo 865 da Lei nº 13.105 de 16 de Março de 2015
- Artigo 864 da Lei nº 13.105 de 16 de Março de 2015
- Artigo 863 da Lei nº 13.105 de 16 de Março de 2015
- Artigo 862 da Lei nº 13.105 de 16 de Março de 2015
- Artigo 861 da Lei nº 13.105 de 16 de Março de 2015
- Artigo 860 da Lei nº 13.105 de 16 de Março de 2015
- Artigo 859 da Lei nº 13.105 de 16 de Março de 2015
- Artigo 858 da Lei nº 13.105 de 16 de Março de 2015
- Artigo 857 da Lei nº 13.105 de 16 de Março de 2015
- Artigo 856 da Lei nº 13.105 de 16 de Março de 2015
- Artigo 855 da Lei nº 13.105 de 16 de Março de 2015
- Artigo 854 da Lei nº 13.105 de 16 de Março de 2015
- Artigo 853 da Lei nº 13.105 de 16 de Março de 2015
- Artigo 852 da Lei nº 13.105 de 16 de Março de 2015
- Artigo 851 da Lei nº 13.105 de 16 de Março de 2015
- Artigo 850 da Lei nº 13.105 de 16 de Março de 2015
- Artigo 849 da Lei nº 13.105 de 16 de Março de 2015
- Artigo 848 da Lei nº 13.105 de 16 de Março de 2015
- Artigo 847 da Lei nº 13.105 de 16 de Março de 2015
- Artigo 846 da Lei nº 13.105 de 16 de Março de 2015
- Artigo 845 da Lei nº 13.105 de 16 de Março de 2015
- Artigo 844 da Lei nº 13.105 de 16 de Março de 2015
- Artigo 843 da Lei nº 13.105 de 16 de Março de 2015
- Artigo 842 da Lei nº 13.105 de 16 de Março de 2015
- Artigo 841 da Lei nº 13.105 de 16 de Março de 2015
- Artigo 840 da Lei nº 13.105 de 16 de Março de 2015
- Artigo 839 da Lei nº 13.105 de 16 de Março de 2015
- Artigo 838 da Lei nº 13.105 de 16 de Março de 2015
- Artigo 837 da Lei nº 13.105 de 16 de Março de 2015
- Artigo 836 da Lei nº 13.105 de 16 de Março de 2015
- Artigo 835 da Lei nº 13.105 de 16 de Março de 2015
- Artigo 834 da Lei nº 13.105 de 16 de Março de 2015
- Artigo 833 da Lei nº 13.105 de 16 de Março de 2015
- Artigo 832 da Lei nº 13.105 de 16 de Março de 2015
- Artigo 831 da Lei nº 13.105 de 16 de Março de 2015",polo_passivo,FALSE,FALSE
5000135-55.2019.8.08.0003,CPF,CPF,NOME,NOME,NOME,TJES,,Órgão colegiado Turma Recursal - 2ª Turma (Composição Reduzida),RECURSO INOMINADO CÍVEL,Obrigação de Fazer / Não Fazer (10671),"- Artigo 537 da Lei nº 13.105 de 16 de Março de 2015
- Artigo 536 da Lei nº 13.105 de 16 de Março de 2015",polo_passivo,FALSE,FALSE
1010340-16.2015.8.26.0016,CPF,CPF,NOME,NOME,NOME,TJSP,"Foro Central Juizado Especial Cível da Comarca de São Paulo, SP",(Processo não distribuído),Recurso Inominado Cível,Indenização por Dano Material,,polo_passivo,FALSE,FALSE
1001555-03.2017.5.02.0311,CPF,CPF,NOME,NOME,NOME,TRT2,,,Ação Trabalhista - Rito Sumário (Alçada),,,polo_ativo,FALSE,FALSE
0163142-90.2011.8.09.0125,CPF,CPF,NOME,NOME,NOME,TJGO,Vara Cível,,7 - Procedimento Comum,,,polo_ativo,FALSE,FALSE
5001807-90.2021.8.13.0035,CPF,CPF,NOME,NOME,NOME,TJMG,,Vara Cível,[CÍVEL] CARTA PRECATÓRIA CÍVEL,DIREITO PROCESSUAL CIVIL E DO TRABALHO / Objetos de cartas precatórias/de ordem / Oitiv,,polo_passivo,FALSE,TRUE
0000907-77.2019.4.01.3804,CPF,CPF,NOME,NOME,NOME,TRF1,,Vara Federal Cível e Criminal da SSJ,AÇÃO PENAL - PROCEDIMENTO ORDINÁRIO,DIREITO PENAL (287) - Crimes Previstos na Legislação Extravagante (3603) - Crimes contra a Ordem Econômica (3615 DIREITO PENAL (287) - Crimes Previstos na Legislação Extravagante (3603) - Crimes contra o Meio Ambiente e o Patrimônio Genético (3618 DIREITO PENAL (287) - Crimes Previstos na Legislação Extravagante (3603) - Crimes contra o Meio Ambiente e o Patrimônio Genético (3618) - Crimes contra a Flora (3620,"- Artigo 52 da Lei nº 9.605 de 12 de Fevereiro de 1998
- Artigo 51 da Lei nº 9.605 de 12 de Fevereiro de 1998
- Artigo 50 da Lei nº 9.605 de 12 de Fevereiro de 1998
- Artigo 49 da Lei nº 9.605 de 12 de Fevereiro de 1998
- Artigo 48 da Lei nº 9.605 de 12 de Fevereiro de 1998
- Artigo 47 da Lei nº 9.605 de 12 de Fevereiro de 1998
- Artigo 46 da Lei nº 9.605 de 12 de Fevereiro de 1998
- Artigo 45 da Lei nº 9.605 de 12 de Fevereiro de 1998
- Artigo 44 da Lei nº 9.605 de 12 de Fevereiro de 1998
- Artigo 43 da Lei nº 9.605 de 12 de Fevereiro de 1998
- Artigo 42 da Lei nº 9.605 de 12 de Fevereiro de 1998
- Artigo 41 da Lei nº 9.605 de 12 de Fevereiro de 1998
- Artigo 40 da Lei nº 9.605 de 12 de Fevereiro de 1998
- Artigo 39 da Lei nº 9.605 de 12 de Fevereiro de 1998
- Artigo 38 da Lei nº 9.605 de 12 de Fevereiro de 1998
- Artigo 6 da Lei nº 8.137 de 27 de Dezembro de 1990
- Artigo 5 da Lei nº 8.137 de 27 de Dezembro de 1990
- Artigo 4 da Lei nº 8.137 de 27 de Dezembro de 1990
- Artigo 2 da Lei nº 8.176 de 08 de Fevereiro de 1991
- Artigo 1 da Lei nº 8.176 de 08 de Fevereiro de 1991",polo_passivo,TRUE,FALSE
0800783-76.2022.8.14.0048,CPF,CPF,NOME,NOME,NOME,TJPA,Vara Única,Vara Única,Auto de Prisão em Flagrante,3632 - Crimes de Trânsito,"- Artigo 312 da Lei nº 9.503 de 23 de Setembro de 1997
- Artigo 311 da Lei nº 9.503 de 23 de Setembro de 1997
- Artigo 310 da Lei nº 9.503 de 23 de Setembro de 1997
- Artigo 309 da Lei nº 9.503 de 23 de Setembro de 1997
- Artigo 308 da Lei nº 9.503 de 23 de Setembro de 1997
- Artigo 307 da Lei nº 9.503 de 23 de Setembro de 1997
- Artigo 306 da Lei nº 9.503 de 23 de Setembro de 1997
- Artigo 305 da Lei nº 9.503 de 23 de Setembro de 1997
- Artigo 304 da Lei nº 9.503 de 23 de Setembro de 1997
- Artigo 303 da Lei nº 9.503 de 23 de Setembro de 1997
- Artigo 302 da Lei nº 9.503 de 23 de Setembro de 1997",polo_passivo,TRUE,FALSE
0000351-19.2018.8.16.0196,CPF,CPF,NOME,NOME,NOME,TJPR,Vara Criminal,,INQUÉRITO POLICIAL,Decorrente de Violência Doméstica - Ameaça - Injúria,"- Parágrafo 9 Artigo 129 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
- Artigo 129 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
- Artigo 11 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940
- Artigo 147 do Decreto Lei nº 2.848 de 07 de Dezembro de 1940",polo_passivo,TRUE,FALSE
0300139-82.2019.8.24.0028,CPF,CPF,NOME,NOME,NOME,TJSC,Içara,1,Embargos à Execução,Efeito Suspensivo / Impugnação / Embargos à Execução - Liquidação / Cumprimento / Execução - Duplicata,,polo_ativo,FALSE,FALSE
0000316-74.2021.5.17.0132,CPF,CPF,NOME,NOME,NOME,TRT17,,2ª Vara do Trabalho de Cachoeiro de Itapemirim,CartPrecCiv,Atos executórios,"- Parágrafo 4 Artigo 915 da Lei nº 13.105 de 16 de Março de 2015
- Parágrafo 2 Artigo 915 da Lei nº 13.105 de 16 de Março de 2015
- Artigo 915 da Lei nº 13.105 de 16 de Março de 2015",polo_passivo,FALSE,FALSE
0000149-95.2019.8.22.0016,CPF,CPF,NOME,NOME,NOME,TJRO,,1ª Vara Criminal,Ação Penal - Procedimento Ordinário (Réu Preso),DIREITO PENAL (287) - Crimes contra o Patrimnio (3415) - Receptação (3435,,polo_passivo,TRUE,FALSE
1000326-13.2021.5.02.0070,CPF,CPF,NOME,NOME,NOME,TRT2,,16ª Turma - Cadeira 2,Agravo de Petição,,,polo_ativo,FALSE,FALSE
0012801-47.2016.5.15.0097,CPF,CPF,NOME,NOME,NOME,TRT15,,1ª Vara do Trabalho de Jundiaí,Embargos de Terceiro Cível,"Penhora Online / BACEN JUD, Anulação / Nulidade de Ato ou Negócio Jurídico, Cerceamento de Defesa, Embargos de Terceiro, Indeferimento de Produção de Prova",,polo_passivo,FALSE,FALSE
0012801-47.2016.5.15.0097,CPF,CPF,NOME,NOME,NOME,TRT15,,1ª Vara do Trabalho de Jundiaí,Embargos de Terceiro Cível,"Penhora Online / BACEN JUD, Anulação / Nulidade de Ato ou Negócio Jurídico, Cerceamento de Defesa, Embargos de Terceiro, Indeferimento de Produção de Prova",,polo_passivo,FALSE,FALSE
0011136-47.2019.8.21.0008,CPF,CPF,NOME,NOME,NOME,TJRS,,,PRECATÓRIAS CRIMINAIS - Precatória de Intimação,,,polo_passivo,TRUE,FALSE
0000103-72.2011.8.26.0664,CPF,CPF,NOME,NOME,NOME,TJSP,Foro de Votuporanga,Vara do Juizado Especial Cível e Criminal - Foro de Votuporanga,Outros Feitos não Especificados,,,polo_ativo,FALSE,FALSE
0710457-04.2021.8.07.0015,CPF,CPF,NOME,NOME,NOME,TJDF,,Vara,CARTA PRECATÓRIA CÍVEL,DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826) - Objetos de cartas precatórias/de ordem (11781) - Intimação (11782 DIREITO PROCESSUAL CIVIL E DO TRABALHO (8826) - Objetos de cartas precatórias/de ordem (11781) - Atos executórios (11786,"- Parágrafo 4 Artigo 915 da Lei nº 13.105 de 16 de Março de 2015
- Parágrafo 2 Artigo 915 da Lei nº 13.105 de 16 de Março de 2015
- Artigo 915 da Lei nº 13.105 de 16 de Março de 2015
- Artigo 232 da Lei nº 13.105 de 16 de Março de 2015",polo_ativo,FALSE,TRUE
0001685-65.2020.4.03.6323,CPF,CPF,NOME,NOME,NOME,TRF3,,1ª VARA GABINETE,1 (CNJ 436) - PROCEDIMENTO DO JUIZADO ESPECIAL CÍVEL,"010408 - SERVIÇOS DELEGADOS A TERCEIROS: CONCESSÃO/PERMISSÃO/AUTORIZAÇÃO - SERVIÇOS, 10076 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO - SERVIÇOS - CONCESSÃO / PERMISSÃO / AUTORIZAÇÃO - TRANSPORTE TERRESTRE, 195 - TRANSPORTE TERRESTRE","- Artigo 64 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 63 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 62 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 61 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 60 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 59 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 58 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 57 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 56 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 55 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 54 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 53 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 52 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 51 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 50 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 49 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 48 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 47 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 46 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 45 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 44 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 43 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 42 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 41 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 40 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 39 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 38 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 37 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 36 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 35 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 34 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 33 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 32 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 31 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 30 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 29 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 28 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 27 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 26 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 25 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 24 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 23 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 22 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 21 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 20 do Decreto nº 1.832 de 01 de Março de 1996
- Artigo 19 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 18 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 17 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 16 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 15 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 14 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 13 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 12 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 11 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 10 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 9 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 8 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 7 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 6 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 5 do Decreto nº 1.832 de Abril de 2003
- Artigo 4 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 3 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 2 do Decreto nº 1.832 de 04 de Março de 1996
- Artigo 1 do Decreto nº 1.832 de 04 de Março de 1996",polo_ativo,FALSE,FALSE
0004366-15.2009.4.01.3812,CPF,CPF,NOME,NOME,NOME,TRF1,,1ª VARA SETE LAGOAS,1116 - Execução Fiscal,6046 - Conselhos Regionais e Afins Anuidade,,polo_passivo,FALSE,FALSE
0000297-94.2015.4.01.3822,CPF,CPF,NOME,NOME,NOME,TRF1,,1ª TR RELATOR 2JFO JUIZ DE FORA,- Recurso Inominado Cível,6104 - Pensão por Morte Art 749,,polo_ativo,FALSE,FALSE
0010117-59.2014.8.26.0196,CPF,CPF,NOME,NOME,NOME,TJSP,,2ª Vara Criminal - Foro de Franca,Ação Penal - Procedimento Sumaríssimo,Posse de Drogas para Consumo Pessoal,,polo_passivo,TRUE,FALSE
0038307-31.2014.8.08.0035,CPF,CPF,NOME,NOME,NOME,TJES,,VARA CRIMINAL,Tribunal de Juri,,,polo_passivo,FALSE,FALSE
0002400-93.2001.5.02.0317,CPF,CPF,NOME,NOME,NOME,TRT2,,7,RTOrd,,,polo_ativo,FALSE,FALSE
0003544-72.2017.8.16.0165,CPF,CPF,NOME,NOME,NOME,TJPR,Juizado Especial Cível de Telêmaco Borba,,- Carta Precatória Cível,,,polo_passivo,FALSE,TRUE
0001275-80.2020.8.11.0040,CPF,CPF,NOME,NOME,NOME,TJMT,,,Carta Precatória,"INTIMAR OS REUS - MD. RAST. 81120204956437.  AUTOS N.  3774-17.2009.811.0042. CODIGO 136535. AUDIENCIA DESIGNADA PARA O DIA 24/03/2020, AS 14 HORAS.",,polo_passivo,TRUE,TRUE
5010046-25.2021.8.24.0020,CPF,CPF,NOME,NOME,NOME,TJSC,,Juízo da Vara da Família da Comarca de Criciúma,Guarda de Família -  Família - Geral,,,polo_ativo,FALSE,FALSE
0015007-75.2019.8.09.0087,CPF,CPF,NOME,NOME,NOME,TJGO,,,Processo Físico - Cálculo de Liquidação de Pena,Execução Penal -,,polo_passivo,TRUE,FALSE
1016352-06.2016.8.26.0309,CPF,CPF,NOME,NOME,NOME,TJSP,,3ª Vara Cível,Reintegração / Manutenção de Posse,"Esbulho / Turbação / Ameaça, Posse","- Artigo 1224 da Lei nº 10.406 de 10 de Janeiro de 2002
- Artigo 1223 da Lei nº 10.406 de 10 de Janeiro de 2002
- Artigo 1222 da Lei nº 10.406 de 10 de Janeiro de 2002
- Artigo 1221 da Lei nº 10.406 de 10 de Janeiro de 2002
- Artigo 1220 da Lei nº 10.406 de 10 de Janeiro de 2002
- Artigo 1219 da Lei nº 10.406 de 10 de Janeiro de 2002
- Artigo 1218 da Lei nº 10.406 de 10 de Janeiro de 2002
- Artigo 1217 da Lei nº 10.406 de 10 de Janeiro de 2002
- Artigo 1216 da Lei nº 10.406 de 10 de Janeiro de 2002
- Artigo 1215 da Lei nº 10.406 de 10 de Janeiro de 2002
- Artigo 1214 da Lei nº 10.406 de 10 de Janeiro de 2002
- Artigo 1213 da Lei nº 10.406 de 10 de Janeiro de 2002
- Artigo 1212 da Lei nº 10.406 de 10 de Janeiro de 2002
- Artigo 1211 da Lei nº 10.406 de 10 de Janeiro de 2002
- Artigo 1210 da Lei nº 10.406 de 10 de Janeiro de 2002",polo_ativo,FALSE,FALSE
0012322-12.2015.8.16.0194,CPF,CPF,NOME,NOME,NOME,TJPR,,,- Busca e Apreensão,7717 - Espécies de Títulos de Crédito,"- Artigo 926 da Lei nº 10.406 de 10 de Janeiro de 2002
- Artigo 925 da Lei nº 10.406 de 10 de Janeiro de 2002
- Artigo 924 da Lei nº 10.406 de 10 de Janeiro de 2002
- Artigo 923 da Lei nº 10.406 de 10 de Janeiro de 2002
- Artigo 922 da Lei nº 10.406 de 10 de Janeiro de 2002
- Artigo 921 da Lei nº 10.406 de 10 de Janeiro de 2002",polo_passivo,FALSE,FALSE
0004098-27.2010.8.26.0083,CPF,CPF,NOME,NOME,NOME,TJSP,,Vara Única - Foro de Aguaí,Consignação em Pagamento,Pagamento em Consignação,"- Artigo 345 da Lei nº 10.406 de 10 de Janeiro de 2002
- Artigo 344 da Lei nº 10.406 de 10 de Janeiro de 2002
- Artigo 343 da Lei nº 10.406 de 10 de Janeiro de 2002
- Artigo 342 da Lei nº 10.406 de 10 de Janeiro de 2002
- Artigo 341 da Lei nº 10.406 de 10 de Janeiro de 2002
- Artigo 340 da Lei nº 10.406 de 10 de Janeiro de 2002
- Artigo 339 da Lei nº 10.406 de 10 de Janeiro de 2002
- Artigo 338 da Lei nº 10.406 de 10 de Janeiro de 2002
- Artigo 337 da Lei nº 10.406 de 10 de Janeiro de 2002
- Artigo 336 da Lei nº 10.406 de 10 de Janeiro de 2002
- Artigo 335 da Lei nº 10.406 de 10 de Janeiro de 2002
- Artigo 334 da Lei nº 10.406 de 10 de Janeiro de 2002",polo_ativo,FALSE,FALSE
